iter	RMSE
156	3564.941035
157	3557.004491
158	3546.824413
159	3545.445406
160	3541.581321
161	3533.159975
162	3526.537193
163	3522.129242
164	3520.423805
165	3515.265742
166	3509.923745
167	3501.628632
168	3500.251963
169	3497.98215
170	3492.591614
171	3487.693434
172	3486.100976
173	3485.030083
174	3478.288594
175	3475.495029
176	3470.989334
177	3468.002479
178	3464.140667
179	3457.222314
180	3450.842651
181	3443.168719
182	3442.18262
183	3439.504975
184	3436.828451
185	3430.761131
186	3426.635396
187	3416.05802
188	3414.844672
189	3408.097243
190	3401.427238
191	3394.562004
192	3390.987701
193	3389.292746
194	3385.240634
195	3383.550054
196	3380.922077
197	3376.976973
198	3370.626423
199	3369.91903
200	3369.110855
201	3361.069049
202	3357.744269
203	3352.001676
204	3347.499219
205	3342.548222
206	3340.216709
207	3338.809266
208	3335.592953
209	3329.855473
210	3324.181868
211	3318.589683
212	3313.422505
213	3310.220729
214	3305.92681
215	3305.269335
216	3301.148638
217	3292.9087
218	3286.396648
219	3281.594475
220	3279.452203
221	3278.076515
222	3274.030328
223	3273.450777
224	3271.742575
225	3269.597918
226	3263.244203
227	3255.528664
228	3255.015008
229	3250.716853
230	3249.11955
231	3244.822463
232	3239.210881
233	3237.985696
234	3236.472796
235	3235.19437
236	3234.239582
237	3230.215762
238	3225.065299
239	3219.714499
240	3215.631414
241	3213.08744
242	3207.039691
243	3203.558292
244	3196.712165
245	3192.5493
246	3188.619448
247	3185.934535
248	3181.808741
249	3178.826902
250	3177.340334
251	3168.218591
252	3161.082521
253	3155.034937
254	3152.180392
255	3151.025963
256	3149.651497
257	3145.866275
258	3135.19483
259	3133.377479
260	3128.247532
261	3124.535168
262	3120.138374
263	3114.546202
264	3113.445008
265	3112.682002
266	3108.366646
267	3104.577997
268	3101.475981
269	3097.826906
270	3095.231005
271	3090.583001
272	3088.841792
273	3086.414876
274	3082.479309
275	3081.752966
276	3076.346347
277	3072.651756
278	3071.565369
279	3069.884014
280	3067.785475
281	3066.60665
282	3062.276382
283	3057.333498
284	3053.138692
285	3048.523369
286	3044.294152
287	3042.221985
288	3033.523225
289	3032.736264
290	3031.619442
291	3027.952605
292	3024.060165
293	3019.299613
294	3012.800824
295	3010.556507
296	3007.209899
297	3001.290823
298	2998.228592
299	2993.790685
300	2990.247363
301	2988.283129
302	2986.505155
303	2982.019518
304	2980.475126
305	2978.400357
306	2976.377402
307	2974.807221
308	2969.9379
309	2962.090075
310	2960.033388
311	2955.19792
312	2949.69435
313	2944.40317
314	2940.715825
315	2939.479055
316	2936.886043
317	2933.12974
318	2931.464035
319	2926.630886
320	2925.621472
321	2923.352895
322	2922.799725
323	2921.090201
324	2918.992939
325	2913.893141
326	2912.314743
327	2908.039989
328	2906.173792
329	2904.516727
330	2902.615569
331	2901.634093
332	2898.986006
333	2897.507759
334	2893.098483
335	2891.881106
336	2886.864569
337	2883.314673
338	2878.679643
339	2875.691202
340	2873.847581
341	2869.094131
342	2868.084238
343	2865.364884
344	2864.482281
345	2862.918382
346	2860.603362
347	2859.77968
348	2856.279025
349	2855.483931
350	2850.567302
351	2847.998145
352	2845.581239
353	2843.944408
354	2842.940918
355	2841.651233
356	2839.515489
357	2835.301469
358	2829.020719
359	2827.649705
360	2825.587988
361	2823.360769
362	2822.803178
363	2821.649221
364	2820.860794
365	2819.258961
366	2817.441409
367	2815.421949
368	2808.659164
369	2805.024992
370	2801.128088
371	2799.191165
372	2797.000278
373	2791.442806
374	2786.978733
375	2782.430934
376	2780.808977
377	2779.249114
378	2778.099129
379	2775.247885
380	2773.440209
381	2770.739874
382	2766.754396
383	2764.619063
384	2763.734701
385	2763.097316
386	2758.715761
387	2755.055341
388	2752.753536
389	2751.759243
390	2749.724721
391	2748.203438
392	2746.887536
393	2745.423234
394	2743.06937
395	2741.274485
396	2739.738707
397	2736.810386
398	2732.486802
399	2726.955543
400	2723.327341
401	2719.752644
402	2714.692306
403	2712.366732
404	2710.005985
405	2709.793012
406	2709.060859
407	2707.78449
408	2705.662574
409	2702.775948
410	2699.554128
411	2697.973697
412	2692.883851
413	2689.314002
414	2685.248571
415	2682.712373
416	2679.899634
417	2679.008093
418	2677.556113
419	2672.849574
420	2668.51914
421	2664.529374
422	2663.582319
423	2661.973283
424	2660.141237
425	2656.528961
426	2654.056231
427	2651.646746
428	2650.643018
429	2649.466189
430	2647.729744
431	2645.847138
432	2641.900917
433	2639.164001
434	2638.363512
435	2637.685445
436	2634.699936
437	2628.920012
438	2625.962795
439	2623.80451
440	2623.548836
441	2621.60276
442	2616.022586
443	2615.2825
444	2614.116674
445	2611.826464
446	2607.310821
447	2601.543908
448	2597.543927
449	2596.964518
450	2592.206873
451	2588.506143
452	2586.842055
453	2584.324596
454	2582.940938
455	2580.178593
456	2578.280913
457	2578.094491
458	2575.761362
459	2574.022462
460	2572.536345
461	2569.345371
462	2566.930503
463	2564.434796
464	2562.494285
465	2559.395214
466	2557.702574
467	2556.206533
468	2554.14814
469	2549.545758
470	2546.21178
471	2543.780345
472	2541.409989
473	2539.467939
474	2537.864855
475	2536.381409
476	2534.807423
477	2529.910355
478	2528.551003
479	2527.984308
480	2525.94831
481	2522.658314
482	2519.581919
483	2518.426669
484	2516.516288
485	2514.57283
486	2513.133705
487	2510.700543
488	2509.33738
489	2504.389186
490	2503.981288
491	2500.319345
492	2499.049127
493	2497.618374
494	2496.407278
495	2493.642689
496	2489.77227
497	2488.933607
498	2485.28201
499	2482.386378
